0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
JLPT-N4	126	降りる	お	Ichidan verb, intransitive verb	1.-to descend (e.g. a mountain); to go down; to come down	2.-to alight (e.g. from bus); to get off; to disembark; to dismount	3.-to step down; to retire; to give up; to quit; to fold	4.-to be granted; to be issued; to be given	5.-to form (of frost, dew, mist, etc.)	6.-to be passed (from the body; e.g. of a roundworm)																					
JLPT-N4	127	彼	かれ	Pronoun	1.-he; him	2.-boyfriend																									
JLPT-N4	128	客	きゃく	Noun	1.-guest; visitor	2.-customer; client; shopper; spectator; audience; tourist; sightseer; passenger	3.-counter for containers used to entertain guests	4.-Kyaku																							
JLPT-N4	129	祖父	そふ	Noun, No-adjective	1.-grandfather	2.-old man	3.-kyogen mask used for the role of an old man	4.-Sofu																							
JLPT-N4	130	高校	こうこう	Noun	1.-senior high school; high school	2.-Koukou																									
JLPT-N4	131	近所	きんじょ	Noun, No-adjective	1.-neighbourhood; neighborhood	2.-Kinjo																									
JLPT-N4	132	番組	ばんぐみ	Noun	1.-program (e.g. TV); programme	2.-Bangumi																									
JLPT-N4	133	見物	けんぶつ	Noun, Suru verb	1.-sightseeing; watching; viewing	2.-sightseer; watcher; spectator	3.-Kenbutsu																								
JLPT-N4	134	亜米利加	亜米利加アメリカ	Noun	1.-America	2.-United States of America	3.-America																								
JLPT-N4	135	彼女	かのじょ	Pronoun	1.-she; her	2.-girlfriend																									
JLPT-N4	136	思う	おも	Godan verb with u ending, Transitive verb	1.-to think; to consider; to believe; to reckon	2.-to think (of doing); to plan (to do)	3.-to judge; to assess; to regard	4.-to imagine; to suppose; to dream	5.-to expect; to look forward to	6.-to feel; to be (in a state of mind); to desire; to want	7.-to recall; to remember																				
JLPT-N4	137	僕	ぼく	Pronoun	1.-I; me	2.-you	3.-manservant																								
JLPT-N4	138	必要	ひつよう	Na-adjective	1.-necessary; needed; essential; indispensable	2.-necessity; need; requirement																									
JLPT-N4	139	見える	み	Ichidan verb, intransitive verb	1.-to be seen; to be in sight	2.-to look; to seem; to appear	3.-to come																								
JLPT-N4	140	考える	かんが	Ichidan verb, Transitive verb	1.-to think (about, of); to think over; to ponder; to contemplate; to reflect (on); to meditate (on)	2.-to consider; to bear in mind; to allow for; to take into consideration	3.-to think (that); to believe; to hold (a view); to judge; to conclude; to suspect	4.-to intend (to do); to think of (doing); to plan	5.-to predict; to anticipate; to expect; to imagine	6.-to come up with; to think up; to contrive; to devise	7.-to consider (as); to regard (as); to look on (as); to take; to view																				
JLPT-N4	141	為	ため	Noun	1.-good; advantage; benefit; welfare	2.-sake; purpose; objective; aim	3.-consequence; result; effect	4.-affecting; regarding; concerning																							
JLPT-N4	142	始める	はじ	Ichidan verb, Transitive verb	1.-to start; to begin; to commence; to initiate; to originate	2.-to start up (a business, society, etc.); to open (e.g. a store); to establish	3.-to start ...; to begin to ...																								
JLPT-N4	143	受ける	う	Ichidan verb, Transitive verb	1.-to receive; to get	2.-to catch (e.g. a ball)	3.-to be struck by (wind, waves, sunlight, etc.)	4.-to sustain (damage); to incur (a loss); to suffer (an injury); to feel (influence)	5.-to undergo (e.g. surgery); to take (a test); to accept (a challenge)	6.-to be given (e.g. life, talent)	7.-to find funny; to find humorous; to be amused (by)	8.-to follow; to succeed; to be descended from	9.-to face (south, etc.)	10.-to be modified by	11.-to obtain (a pawned item, etc.) by paying a fee	12.-to be well-received; to become popular; to go down well															
JLPT-N4	144	美しい	うつく	I-adjective	1.-beautiful; pretty; lovely; sweet; pure (heart, friendship, etc.)																										
JLPT-N4	145	試験	しけん	Noun, Suru verb	1.-examination; exam; test	2.-trial; experiment; test																									
JLPT-N4	146	親切	しんせつ	Na-adjective, Noun	1.-kind; gentle; considerate; generous; friendly; nice																										
JLPT-N4	147	失敗	しっぱい	Noun, No-adjective, Suru verb	1.-failure; mistake; blunder																										
JLPT-N4	148	以上	いじょう	Adverbial noun, Temporal noun	1.-not less than; ... and more; ... and upwards	2.-beyond ... (e.g. one's means); further (e.g. nothing further to say); more than ... (e.g. cannot pay more than that)	3.-above-mentioned; foregoing	4.-since ...; seeing that ...	5.-this is all; that is the end; the end																						
JLPT-N4	149	意見	いけん	Noun, Suru verb, No-adjective	1.-opinion; view; comment																										
JLPT-N4	150	決して	けっ	Adverb	1.-(not) ever; (not) by any means; (not) in the least; (not) in any way; (not) at all																										
JLPT-N4	151	十分	じゅうぶん	Na-adjective	1.-enough; sufficient; plenty; adequate; satisfactory	2.-sufficiently; fully; thoroughly; well; perfectly	3.-division into ten																								
JLPT-N4	152	試合	試合しあい	Noun, Suru verb	1.-match; game; bout; contest																										
JLPT-N4	153	一生懸命	いっしょうけんめい	Na-adjective, Adverbial noun, Noun	1.-very hard; with utmost effort; with all one's might; for dear life																										
JLPT-N4	154	子	こ	Noun, Noun - used as a suffix	1.-child	2.-young (animal)	3.-young woman; young geisha	4.-offshoot	5.-interest	6.-new shares	7.-player who is not a dealer (in cards, mahjong, etc.)	8.-bird egg	9.--er (often of young women)																		
JLPT-N4	155	探す	さが	Godan verb with su ending, Transitive verb	1.-to search (for something desired, needed); to look for	2.-to search (for something lost); to seek (a suspect in a crime)																									
JLPT-N4	156	急ぐ	いそ	Godan verb with gu ending, intransitive verb, Transitive verb	1.-to hurry; to rush; to hasten; to make something happen sooner																										
JLPT-N4	157	選ぶ	えら	Godan verb with bu ending, Transitive verb	1.-to choose; to select																										
JLPT-N4	158	送る	おく	Godan verb with ru ending, Transitive verb	1.-to send (a thing); to dispatch; to despatch; to transmit	2.-to take or escort (a person somewhere); to see off (a person)	3.-to bid farewell (to the departed); to bury	4.-to spend (time); to live one's life	5.-to pass (down the line)	6.-to affix okurigana																					
JLPT-N4	159	必ず	かなら	Adverb	1.-always; without exception; necessarily; certainly; without fail; positively; invariably																										
JLPT-N4	160	怒る	おこ	Godan verb with ru ending, intransitive verb	1.-to get angry; to get mad	2.-to tell someone off; to scold	3.-to be angular; to be square																								
JLPT-N4	161	最近	さいきん	Adverbial noun, Temporal noun, No-adjective	1.-recently; lately; these days; nowadays; right now	2.-nearest; closest																									
JLPT-N4	162	払う	はら	Godan verb with u ending, Transitive verb	1.-to pay (e.g. money, bill)	2.-to brush off; to wipe away; to clear away; to dust off; to cut off (e.g. branches)	3.-to drive away (e.g. one's competitors)	4.-to sell off (something unneeded); to dispose of	5.-to pay (e.g. attention); to show (e.g. respect, concern)	6.-to make (e.g. effort, sacrifice); to expend; to exert	7.-to move out (of one's own place); to vacate	8.-to sweep (e.g. one's legs); to knock aside	9.-to make a sweeping stroke (in Japanese calligraphy)	10.-to reset (an abacus)																	
JLPT-N4	163	合う	あ	Godan verb with u ending, intransitive verb	1.-to come together; to merge; to unite; to meet	2.-to fit; to match; to suit; to agree with; to be correct	3.-to be profitable; to be equitable	4.-to do ... to each other; to do ... together																							
JLPT-N4	164	点	てん	Noun	1.-dot; spot; point; speck; mark	2.-mark (in an exam, etc.); grade; score; points	3.-point (in a game); score; goal; run	4.-point (in geometry)	5.-point; aspect; matter; detail; part; respect; way; viewpoint	6.-(punctuation) mark (e.g. comma, period, decimal point); dot	"7.-""dot"" stroke (in a Chinese character)"	8.-counter for points, marks, goals, etc.	9.-counter for goods, items, articles of clothing, works of art, etc.																		
JLPT-N4	165	決める	き	Ichidan verb, Transitive verb	1.-to decide; to choose; to determine; to make up one's mind; to resolve; to set one's heart on; to settle; to arrange; to set; to appoint; to fix	2.-to clinch (a victory); to decide (the outcome of a match)	3.-to persist in doing; to go through with	4.-to always do; to have made a habit of	5.-to take for granted; to assume	6.-to dress up; to dress to kill; to dress to the nines	7.-to carry out successfully (a move in sports, a pose in dance, etc.); to succeed in doing	8.-to immobilize with a double-arm lock (in sumo, judo, etc.)	9.-to eat or drink something; to take illegal drugs																		
JLPT-N4	166	笑う	わら	Godan verb with u ending, intransitive verb	1.-to laugh	2.-to smile	3.-to sneer; to ridicule	4.-to be dumbfounded; to be flabbergasted																							
JLPT-N4	167	最初	さいしょ	No-adjective, Adverbial noun, Temporal noun	1.-beginning; outset; first; onset																										
JLPT-N4	168	反対	はんたい	Noun, Suru verb, No-adjective, Na-adjective	1.-opposition; resistance; antagonism; hostility; objection; dissent	2.-reverse; opposite; inverse; contrary																									
JLPT-N4	169	妻	つま	Noun	1.-wife	2.-my dear; dear; honey	3.-garnish (esp. one served with sashimi)	4.-embellishment																							
JLPT-N4	170	娘	むすめ	Noun	1.-daughter	2.-girl (i.e. a young, unmarried woman)																									
JLPT-N4	171	理由	りゆう	Noun	1.-reason; pretext; motive																										
JLPT-N4	172	喜ぶ	よろこ	Godan verb with bu ending	1.-to be delighted; to be glad; to be pleased	2.-to congratulate	3.-to gratefully accept																								
JLPT-N4	173	昔	むかし	No-adjective, Adverbial noun, Temporal noun	1.-olden days; former																										
JLPT-N4	174	約束	やくそく	Noun, Suru verb	1.-promise; agreement; arrangement; one's word; contract; pact; appointment; engagement; date	2.-convention; rule	3.-destiny; fate																								
JLPT-N4	175	思い出す	おもだ	Godan verb with su ending, Transitive verb	1.-to recall; to remember; to recollect																										
JLPT-N4	176	正しい	ただ	I-adjective	1.-right; correct	2.-proper; righteous; just; honest; truthful; lawful																									
JLPT-N4	177	落ちる	お	Ichidan verb, intransitive verb	1.-to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze); to be used in a certain place (e.g. money)	2.-to be omitted; to be missing	3.-to decrease; to sink	4.-to fail (e.g. exam or class); to lose (contest, election, etc.)	5.-to crash; to degenerate; to degrade; to fall behind	6.-to become indecent (of a conversation)	7.-to be ruined; to go under	8.-to fade; to come out (e.g. a stain); to come off (e.g. makeup); to be removed (e.g. illness, possessing spirit, name on a list)	9.-to fall (into someone's hands); to become someone's possession	10.-to fall (into a trap); to fall (for a trick)	11.-to give in; to give up; to confess; to flee	12.-to fall; to be defeated; to surrender	13.-to come to (in the end); to end in	14.-to fall (in love, asleep, etc.)	15.-to swoon (judo)	16.-to consent; to understand	17.-to go down (of a website, server, etc.); to crash	18.-to log out (of an online game, chat room, etc.); to drop out; to leave; to go offline	19.-to die	20.-to move to the depths	21.-to go down (of a website, server, etc.)						
JLPT-N4	178	場所	ばしょ	Noun	1.-place; location; spot; position	2.-room; space	3.-basho; wrestling tournament																								
JLPT-N4	179	楽しむ	たの	Godan verb with mu ending	1.-to enjoy (oneself)																										
JLPT-N4	180	利用	りよう	Noun, Suru verb	1.-use; utilization; utilisation; application																										
JLPT-N4	181	間に合う	まあ	Godan verb with u ending, intransitive verb	1.-to be in time (for)	2.-to serve (suit, meet) the purpose; to be good enough; to be enough; to manage; to make do																									
JLPT-N4	182	今度	こんど	Adverbial noun, Temporal noun	1.-this time; now	2.-next time; another time; shortly; soon	3.-recently; lately; the other day																								
JLPT-N4	183	予定	よてい	Noun, Suru verb	1.-plans; arrangement; schedule; program; programme; expectation; estimate																										
