0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
JLPT-N1	92	錆	さび	Noun	1.-rust	2.-Rust																								
JLPT-N1	93	と		Particle, Conjunction	1.-if; when	2.-and	3.-with	4.-used for quoting (thoughts, speech, etc.)	5.-promoted pawn	6.-indicates a question	7.-To (kana)																			
JLPT-N1	94	螺子	ねじ	Noun	1.-screw	2.-key (of a clock, watch, etc.); spring (of a clock, watch, etc.)	3.-Helix																							
JLPT-N1	95	黄金	おうごん	Noun	1.-gold (Au)	2.-golden; prosperous; excellent; superb	3.-money (esp. ōban coin); cash	4.-Gold																						
JLPT-N1	96	子	こ	Noun, Noun - used as a suffix	1.-child	2.-young (animal)	3.-young woman; young geisha	4.-offshoot	5.-interest	6.-new shares	7.-player who is not a dealer (in cards, mahjong, etc.)	8.-bird egg	9.--er (often of young women)																	
JLPT-N1	97	怒る	おこ	Godan verb with ru ending, intransitive verb	1.-to get angry; to get mad	2.-to tell someone off; to scold	3.-to be angular; to be square																							
JLPT-N1	98	嬢	じょう	Noun	1.-unmarried woman	2.-Miss	3.--ess; -ette	4.-Daughter																						
JLPT-N1	99	振り	ふ	Noun, Counter	1.-swing; shake; wave; swinging	2.-appearance; behaviour	3.-pretence (pretense); show; pretending (to)	4.-going to restaurant, hotel etc. without a reservation or introduction	5.-move (dance); postures	6.-lead in (e.g. to a running joke, asking a question); lead up	7.-unsewn part of a hanging sleeve on a traditional Japanese woman's garment	8.-counter for swords, blades, etc.	9.-not wearing underwear or pants	10.-Wind																
JLPT-N1	100	落ちる	お	Ichidan verb, intransitive verb	1.-to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze); to be used in a certain place (e.g. money)	2.-to be omitted; to be missing	3.-to decrease; to sink	4.-to fail (e.g. exam or class); to lose (contest, election, etc.)	5.-to crash; to degenerate; to degrade; to fall behind	6.-to become indecent (of a conversation)	7.-to be ruined; to go under	8.-to fade; to come out (e.g. a stain); to come off (e.g. makeup); to be removed (e.g. illness, possessing spirit, name on a list)	9.-to fall (into someone's hands); to become someone's possession	10.-to fall (into a trap); to fall (for a trick)	11.-to give in; to give up; to confess; to flee	12.-to fall; to be defeated; to surrender	13.-to come to (in the end); to end in	14.-to fall (in love, asleep, etc.)	15.-to swoon (judo)	16.-to consent; to understand	17.-to go down (of a website, server, etc.); to crash	18.-to log out (of an online game, chat room, etc.); to drop out; to leave; to go offline	19.-to die	20.-to move to the depths	21.-to go down (of a website, server, etc.)					
JLPT-N1	101	楽しむ	たの	Godan verb with mu ending	1.-to enjoy (oneself)																									
